Year,Percent,Certainty
2013,27.13684210526316,record
2014,28.90526315789474,record
2015,28.54,record
2016,28.200000000000003,record
2017,29.962500000000002,record
2017,29.962500000000002,conservative estimate
2017,29.962500000000002,conservative estimate
2017,29.962500000000002,conservative estimate
2017,29.962500000000002,conservative estimate
2018,30.862500000000004,conservative estimate
2018,31.143750000000004,conservative estimate
2018,31.462500000000006,conservative estimate
2019,30.818181818181817,conservative estimate
2019,31.4,conservative estimate
2019,32.03636363636363,conservative estimate
2020,30.81176470588235,conservative estimate
2020,31.69411764705882,conservative estimate
2020,32.64705882352941,conservative estimate
