Year,USD,Dollars,Certainty
2013,1730.5,Nominal,record
2013,1992.4055666042364,2019,record
2014,1688.5,Nominal,record
2014,1897.9050390007956,2019,record
2015,1786.5,Nominal,record
2015,1992.323114989564,2019,record
2016,1914.6666666666665,Nominal,record
2016,2093.886624509099,2019,record
2017,1867.6666666666665,Nominal,record
2017,1977.6858786077141,2019,record
2017,1867.6666666666665,Nominal,conservative estimate
2017,1867.6666666666665,Nominal,conservative estimate
2017,1867.6666666666665,Nominal,conservative estimate
2017,1977.6858786077141,2019,conservative estimate
2017,1977.6858786077141,2019,conservative estimate
2017,1977.6858786077141,2019,conservative estimate
2018,1843.6666666666665,Nominal,conservative estimate
2018,1836.1666666666665,Nominal,conservative estimate
2018,1827.6666666666665,Nominal,conservative estimate
2018,1894.9643737043623,2019,conservative estimate
2018,1887.2556956337876,2019,conservative estimate
2018,1878.5191938204698,2019,conservative estimate
2019,1902.5,Nominal,conservative estimate
2019,1886.5,Nominal,conservative estimate
2019,1869.0,Nominal,conservative estimate
2019,1902.5,2019,conservative estimate
2019,1886.5,2019,conservative estimate
2019,1869.0,2019,conservative estimate
2020,1877.0,Nominal,conservative estimate
2020,1852.0,Nominal,conservative estimate
2020,1825.0,Nominal,conservative estimate
2020,1826.188598241807,2019,conservative estimate
2020,1801.865361717542,2019,conservative estimate
2020,1775.596266271336,2019,conservative estimate
